,Country,Total Cases,New Cases,Total Death,New Deaths,Total Recovered,other,Active Cases,Serious Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
0,World,"147,022,891","+800,176","3,111,619","+12,606","125,024,796","+691,974","18,886,476","109,690","18,862",399.2,,,
1,USA,"32,786,598","+50,225","585,871",+732,"25,338,742","+42,430","6,861,985","9,757","98,584","1,762","438,496,026","1,318,490","332,574,397"
2,India,"16,951,621","+349,165","192,309","+2,760","14,077,870","+215,751","2,681,442","8,944","12,187",138,"276,199,222","198,565","1,390,975,476"
3,Brazil,"14,308,215","+70,105","389,492","+2,869","12,766,772","+55,669","1,151,951","8,318","66,929","1,822","43,538,104","203,656","213,782,412"
4,France,"5,473,579","+32,633","102,713",+217,"4,321,591","+45,309","1,049,275","5,958","83,706","1,571","74,165,951","1,134,199","65,390,614"
5,Russia,"4,753,789","+8,828","107,900",+399,"4,380,468","+9,254","265,421","2,300","32,563",739,"127,500,000","873,376","145,985,225"
6,Turkey,"4,591,416","+40,596","38,011",+339,"4,022,408","+52,297","530,997","3,511","53,971",447,"45,623,978","536,294","85,072,664"
7,UK,"4,403,170","+2,061","127,417",+32,"4,189,154","+5,571","86,599",243,"64,586","1,869","148,737,754","2,181,710","68,174,839"
8,Italy,"3,949,517","+13,817","119,021",+322,"3,369,048","+17,587","461,448","2,894","65,401","1,971","56,886,535","941,991","60,389,660"
9,Spain,"3,468,617",,"77,591",,"3,163,849",,"227,177","2,297","74,164","1,659","44,374,223","948,786","46,769,469"
10,Germany,"3,277,661","+15,897","82,117",+181,"2,882,300","+17,300","313,244","5,049","39,019",978,"54,061,332","643,579","84,001,076"
11,Argentina,"2,845,872","+21,220","61,474",+298,"2,496,277","+21,763","288,121","4,858","62,504","1,350","10,689,927","234,782","45,531,211"
12,Colombia,"2,757,274","+16,730","70,886",+440,"2,573,657","+18,038","112,731","5,306","53,726","1,381","14,317,363","278,975","51,321,307"
13,Poland,"2,751,632","+9,505","65,222",+513,"2,422,659","+21,202","263,751","3,195","72,770","1,725","13,901,801","367,646","37,812,968"
14,Iran,"2,377,039","+18,230","69,120",+374,"1,863,405","+12,614","444,514","5,156","28,011",815,"15,078,540","177,685","84,861,311"
15,Mexico,"2,323,430","+3,911","214,504",+409,"1,845,008","+3,044","263,918","4,798","17,869","1,650","6,509,956","50,066","130,027,857"
16,Ukraine,"2,017,341","+12,711","42,092",+392,"1,565,954","+13,687","409,295",177,"46,354",967,"9,214,479","211,729","43,520,193"
17,Peru,"1,745,655",,"59,012",,"1,670,805",,"15,838","2,642","52,355","1,770","10,723,364","321,611","33,342,684"
18,Indonesia,"1,636,792","+4,544","44,500",+154,"1,492,322","+4,953","99,970",,"5,933",161,"14,242,895","51,631","275,861,782"
19,Czechia,"1,618,068","+2,587","28,920",+22,"1,524,041",+199,"65,107",765,"150,868","2,696","16,937,639","1,579,254","10,725,091"
20,South Africa,"1,574,370","+1,385","54,125",+59,"1,500,360","+1,250","19,885",546,"26,278",903,"10,508,510","175,397","59,912,725"
21,Netherlands,"1,453,124","+8,060","17,038",+22,"1,211,631","+7,688","224,455",827,"84,653",993,"11,781,337","686,334","17,165,611"
22,Canada,"1,170,412","+5,825","23,922",+39,"1,060,375","+6,027","86,115","1,312","30,792",629,"30,559,306","803,984","38,009,844"
23,Chile,"1,162,811","+6,909","25,742",+101,"1,092,934","+8,103","44,135","3,374","60,409","1,337","12,709,327","660,261","19,248,949"
24,Romania,"1,044,722","+2,201","27,267",+154,"968,746","+4,906","48,709","1,377","54,602","1,425","8,093,181","422,988","19,133,357"
25,Iraq,"1,025,288","+6,967","15,217",+43,"897,966","+6,959","112,105",509,"25,038",372,"9,076,934","221,666","40,948,762"
26,Philippines,"989,380","+9,661","16,674",+145,"883,221","+22,877","89,485",750,"8,933",151,"11,460,993","103,477","110,758,916"
27,Belgium,"968,107","+3,581","23,954",+45,"818,866","+3,495","125,287",910,"83,239","2,060","12,202,244","1,049,160","11,630,488"
28,Sweden,"938,343",,"13,923",,"759,670",,"164,750",403,"92,445","1,372","8,151,774","803,111","10,150,252"
29,Israel,"837,974",+82,"6,350",+4,"829,811",+115,"1,813",152,"91,108",690,"14,049,710","1,527,543","9,197,590"
30,Portugal,"833,964",+567,"16,959",+2,"792,377",+626,"24,628",98,"81,982","1,667","10,155,322","998,305","10,172,565"
31,Pakistan,"790,016","+5,908","16,999",+157,"686,488","+4,198","86,529","4,682","3,521",76,"11,483,643","51,187","224,347,808"
32,Hungary,"767,190","+2,796","26,420",+212,"478,323","+4,176","262,447",813,"79,580","2,741","5,257,377","545,347","9,640,433"
33,Bangladesh,"742,400","+2,697","10,952",+83,"653,151","+5,477","78,297",,"4,472",66,"5,323,579","32,067","166,016,073"
34,Jordan,"700,423","+1,259","8,563",+49,"664,772","+3,340","27,088",729,"68,101",833,"6,593,672","641,094","10,285,037"
35,Serbia,"677,972","+2,068","6,196",+32,"615,211","+3,672","56,565",209,"77,849",711,"3,766,407","432,484","8,708,781"
36,Switzerland,"646,509",,"10,567",+1,"577,630",,"58,312",238,"74,261","1,214","6,723,694","772,319","8,705,848"
37,Austria,"606,954","+2,131","10,070",+15,"570,684","+2,471","26,200",507,"67,081","1,113","30,489,054","3,369,696","9,048,013"
38,Japan,"556,999","+5,098","9,854",+54,"498,242","+3,360","48,903",837,"4,415",78,"11,365,991","90,090","126,162,025"
39,Lebanon,"518,104",,"7,090",,"441,631",,"69,383",682,"76,185","1,043","3,903,562","574,002","6,800,612"
40,Morocco,"509,037",+507,"8,988",+5,"494,872",+457,"5,177",222,"13,660",241,"6,214,771","166,777","37,264,062"
41,UAE,"508,925","+2,080","1,569",+2,"490,457","+1,793","16,899",,"50,959",157,"42,911,245","4,296,732","9,986,950"
42,Saudi Arabia,"411,263","+1,072","6,887",+9,"394,529",+858,"9,847","1,205","11,667",195,"16,477,359","467,425","35,251,332"
43,Bulgaria,"397,100",+798,"15,859",+33,"324,386",+509,"56,855",738,"57,501","2,296","2,441,727","353,571","6,905,909"
44,Malaysia,"390,252","+2,717","1,426",+11,"365,900","+2,292","22,926",272,"11,934",44,"9,001,532","275,268","32,700,950"
45,Slovakia,"379,476",+841,"11,458",+53,"255,300",,"112,718",357,"69,478","2,098","2,548,241","466,558","5,461,787"
46,Ecuador,"372,754","+1,448","18,158",+96,"309,541",,"45,055",638,"20,872","1,017","1,259,292","70,512","17,859,251"
47,Panama,"362,358",,"6,200",,"352,255",,"3,903",105,"82,928","1,419","2,339,492","535,406","4,369,567"
48,Belarus,"351,674","+1,453","2,483",+10,"342,102","+1,442","7,089",,"37,227",263,"5,759,533","609,681","9,446,801"
49,Greece,"331,730","+2,596","9,950",+86,"285,692",,"36,088",797,"31,953",958,"7,824,968","753,728","10,381,684"
